country,year,sustainable_index_score,no_poverty_score,zero_hunger_score,good_health_score,quality_education_score,gender_equality_score,clean_water_sanitation_score,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,URL
Afghanistan,2021,46.3,20.0,46.7,37.5,34.4,32.9,50.4,2.523,0.37,0.0,0.126,0.0,0.122,0.01,https://www.worldometers.info//img/flags/small/tn_af-flag.gif
Albania,2021,73.7,98.5,59.1,82.1,86.8,60.7,73.7,5.117,1.008,0.529,0.646,0.491,0.168,0.024,https://www.worldometers.info//img/flags/small/tn_al-flag.gif
Algeria,2021,71.0,97.3,57.5,76.8,69.3,40.9,58.0,4.887,0.946,0.765,0.552,0.119,0.144,0.12,https://www.worldometers.info//img/flags/small/tn_ag-flag.gif
Argentina,2021,73.4,96.5,68.7,80.3,97.9,82.1,77.9,5.929,1.162,0.98,0.646,0.544,0.069,0.067,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Armenia,2021,73.7,95.0,53.6,76.8,66.7,68.4,65.6,5.283,0.996,0.758,0.585,0.54,0.079,0.198,https://www.worldometers.info//img/flags/small/tn_am-flag.gif
Australia,2021,76.0,99.3,58.4,95.4,89.6,81.7,93.9,7.183,1.453,1.076,0.801,0.647,0.291,0.317,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Austria,2021,83.1,99.4,73.1,92.6,97.9,84.5,92.2,7.268,1.492,1.062,0.782,0.64,0.215,0.292,https://www.worldometers.info//img/flags/small/tn_au-flag.gif
Bangladesh,2021,65.5,73.4,70.5,61.7,89.7,54.3,67.3,5.025,0.635,0.52,0.514,0.603,0.161,0.164,https://www.worldometers.info//img/flags/small/tn_bg-flag.gif
Belgium,2021,79.5,99.4,71.2,93.4,95.3,87.7,70.6,6.834,1.463,0.998,0.747,0.489,0.088,0.187,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Benin,2021,55.1,52.4,65.2,42.5,57.3,34.1,49.4,5.045,0.507,0.058,0.196,0.457,0.166,0.178,https://www.worldometers.info//img/flags/small/tn_bn-flag.gif
Bolivia,2021,69.2,90.9,64.7,66.3,90.6,69.2,69.1,5.716,0.842,0.782,0.486,0.6,0.138,0.064,
Bosnia and Herzegovina,2021,74.1,99.8,63.8,76.5,64.1,47.2,73.2,5.813,1.032,0.919,0.618,0.395,0.261,0.005,https://www.worldometers.info//img/flags/small/tn_bk-flag.gif
Botswana,2021,62.4,62.7,45.0,51.4,65.8,69.2,68.1,3.467,1.099,0.724,0.34,0.539,0.027,0.088,https://www.worldometers.info//img/flags/small/tn_bc-flag.gif
Brazil,2021,73.4,93.0,68.7,77.2,85.9,70.0,86.1,6.33,1.028,0.944,0.571,0.514,0.142,0.117,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Bulgaria,2021,74.9,100.0,68.2,79.3,79.5,70.8,66.3,5.266,1.181,1.055,0.583,0.494,0.125,0.005,https://www.worldometers.info//img/flags/small/tn_bu-flag.gif
Burkina Faso,2021,51.6,25.8,58.5,46.6,26.7,40.6,44.8,4.834,0.364,0.472,0.179,0.381,0.182,0.122,https://www.worldometers.info//img/flags/small/tn_uv-flag.gif
Cameroon,2021,55.0,48.2,61.2,40.3,49.2,55.9,56.0,5.142,0.543,0.556,0.159,0.425,0.205,0.058,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
